"No_";"Name";"Customer Posting Group";"Creation Date";"VIP";"Country_Region Code";"City";"BirthDate";"MaritalStatus";"Gender";"EmailAddress";"AnnualIncome";"TotalChildren";"EducationLevel";"Occupation";"HomeOwner"
"CLI430100804";"BAILEY PHILLIPS";"S_1";"10/24/2017 12:00:00 AM";0;"ES";"Barcelona";"2/20/1970";"M";"F";"bailey27@adventure-works.com";"$50,000";1;"Bachelors";"Skilled Manual";"Y"
"CLI430100806";"TIMOTHY GONZALEZ";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Leida";"5/21/1970";"M";"M";"timothy34@adventure-works.com";"$50,000";1;"Bachelors";"Skilled Manual";"Y"
"CLI43006146";"PETER NARA";"S_1";"2/13/2019 12:00:00 AM";0;"ES";"Tarragona";"8/23/1973";"S";"M";"peter21@adventure-works.com";"$50,000";0;"Graduate Degree";"Skilled Manual";"N"
"CLI430061460";"ISAAC RIVERA";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Alcalá de Henares";"10/8/1973";"S";"M";"isaac16@adventure-works.com";"$50,000";0;"Graduate Degree";"Skilled Manual";"N"
"CLI1004";"CURTIS YANG";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Cuenca";"6/6/1962";"M";"M";"curtis5@adventure-works.com";"$60,000";1;"Partial College";"Skilled Manual";"Y"
"CLI43046100";"AARON ROSS";"S_1";"9/3/2019 12:00:00 AM";0;"ES";"Frias";"12/22/1958";"M";"M";"aaron3@adventure-works.com";"$60,000";1;"Bachelors";"Professional";"Y"
"CLI430461000";"BLAKE PATTERSON";"S_1";"9/3/2019 12:00:00 AM";0;"ES";"Sabinosa";"5/28/1958";"S";"M";"blake58@adventure-works.com";"$60,000";1;"Bachelors";"Professional";"Y"
"CLI430461001";"WHITNEY LOPEZ";"S_1";"9/3/2019 12:00:00 AM";0;"ES";"Viniegra de Abajo";"11/15/1958";"M";"F";"whitney15@adventure-works.com";"$70,000";5;"Graduate Degree";"Professional";"Y"
"CLI1035";"CAROLINE RUSSELL";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Jorquera";"1/6/1980";"M";"F";"caroline21@adventure-works.com";"$30,000";0;"High School";"Skilled Manual";"Y"
"CLI1036";"AMANDA RIVERA";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Ohanes";"3/12/1980";"M";"F";"amanda7@adventure-works.com";"$30,000";0;"High School";"Skilled Manual";"N"
"CLI1037";"MELISSA RICHARDSON";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Redes";"10/26/1980";"S";"F";"melissa31@adventure-works.com";"$30,000";0;"High School";"Skilled Manual";"N"
"CLI43002010";"FELICIA ORTEGA";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Bárcena Mayor";"3/18/1970";"M";"F";"felicia20@adventure-works.com";"$80,000";4;"Graduate Degree";"Management";"Y"
"CLI430020101";"JANET ORTEGA";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Reinosa";"7/8/1970";"M";"F";"janet27@adventure-works.com";"$90,000";2;"Bachelors";"Professional";"Y"
"CLI43003500";"JESSIE RAMOS";"S_1";"2/25/2021 12:00:00 AM";0;"ES";"Lastres";"7/17/1967";"S";"F";"jessie36@adventure-works.com";"$80,000";5;"Graduate Degree";"Management";"Y"
"CLI430035000";"MARC TORRES";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Madrid";"10/11/1966";"M";"M";"marc15@adventure-works.com";"$80,000";5;"Bachelors";"Professional";"Y"
"CLI43015330";"AARON SHARMA";"S_1";"5/26/2021 12:00:00 AM";0;"ES";"Madrid";"9/16/1969";"M";"M";"aaron30@adventure-works.com";"$60,000";1;"Graduate Degree";"Professional";"Y"
"CLI430153300";"MADISON TAYLOR";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Cudillero";"8/9/1971";"M";"F";"madison9@adventure-works.com";"$60,000";1;"Graduate Degree";"Professional";"Y"
"CLI43017100";"JENNIFER STEWART";"S_1";"7/29/2019 12:00:00 AM";0;"ES";"Pedraza";"8/10/1971";"M";"F";"jennifer52@adventure-works.com";"$70,000";2;"Graduate Degree";"Professional";"Y"
"CLI430171000";"LUCAS BAKER";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Trujillo";"9/4/1971";"M";"M";"lucas48@adventure-works.com";"$70,000";3;"Graduate Degree";"Professional";"Y"
"CLI43023070";"JOSE LAL";"S_1";"8/23/2019 12:00:00 AM";0;"ES";"Frias";"10/10/1967";"M";"M";"jose23@adventure-works.com";"$70,000";2;"Bachelors";"Skilled Manual";"Y"
"CLI430230700";"KATELYN LOPEZ";"S_1";"8/23/2019 12:00:00 AM";0;"ES";"Puebla de Sanabria";"8/26/1966";"M";"F";"katelyn45@adventure-works.com";"$60,000";0;"Graduate Degree";"Professional";"Y"
"CLI43026060";"AIMEE SHE";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Peñíscola";"5/18/1966";"S";"F";"aimee17@adventure-works.com";"$70,000";5;"Graduate Degree";"Professional";"Y"
"CLI1015";"EVAN JAMES";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Potes";"4/10/1935";"S";"M";"evan8@adventure-works.com";"$30,000";2;"Partial College";"Clerical";"N"
"CLI43028680";"HALEY ALEXANDER";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Ronda";"8/9/1965";"S";"F";"haley38@adventure-works.com";"$80,000";3;"Bachelors";"Skilled Manual";"Y"
"CLI430286801";"JUSTIN RODRIGUEZ";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Vejer de la Frontera";"2/9/1965";"S";"M";"justin48@adventure-works.com";"$80,000";3;"Bachelors";"Skilled Manual";"N"
"CLI43030470";"BROOKE RAMIREZ";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Medinaceli";"3/23/1964";"S";"F";"brooke7@adventure-works.com";"$50,000";4;"Bachelors";"Skilled Manual";"Y"
"CLI430304700";"JADA MITCHELL";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Almagro";"9/8/1963";"S";"F";"jada23@adventure-works.com";"$60,000";4;"Bachelors";"Professional";"Y"
"CLI1000";"JESSIE LIU";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Hondarribia";"9/11/1964";"S";"M";"jessie9@adventure-works.com";"$70,000";0;"Bachelors";"Professional";"N"
"CLI1014";"ALVIN ZENG";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Zuheros";"7/3/1957";"S";"M";"alvin21@adventure-works.com";"$80,000";1;"Partial College";"Skilled Manual";"N"
"CLI1579";"COLLEEN MA";"S_1";"10/18/2019 12:00:00 AM";0;"ES";"Calaceite";"3/11/1973";"M";"F";"colleen16@adventure-works.com";"$40,000";1;"Bachelors";"Skilled Manual";"Y"
"CLI1711";"CESAR MADAN";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Morela";"3/4/1976";"S";"M";"cesar6@adventure-works.com";"$20,000";0;"High School";"Manual";"N"
"CLI1162";"LUIS DIAZ";"S_2";"5/12/2021 12:00:00 AM";0;"FR";"Paris";"8/21/1948";"M";"M";"luis21@adventure-works.com";"$40,000";2;"High School";"Professional";"Y"
"CLI1387";"FERNANDO BARNES";"S_2";"1/8/2021 12:00:00 AM";0;"FR";"Paris";"3/3/1960";"M";"M";"fernando47@adventure-works.com";"$80,000";5;"Partial College";"Professional";"N"
"CLI1558";"MELVIN CHANDE";"S_2";"10/23/2020 12:00:00 AM";0;"MO";"Fez";"10/7/1972";"S";"M";"melvin13@adventure-works.com";"$90,000";0;"Bachelors";"Professional";"N"
"CLI1832";"EMMA TORRES";"S_2";"10/23/2020 12:00:00 AM";0;"MO";"El Aaiún";"10/2/1960";"M";"F";"emma40@adventure-works.com";"$60,000";1;"Partial College";"Skilled Manual";"Y"
"CLI0011";"JULIO RUIZ";"S_2";"10/9/2017 12:00:00 AM";0;"JO";"Irbid";"8/5/1965";"S";"M";"julio1@adventure-works.com";"$70,000";0;"Bachelors";"Professional";"Y"
"CLI43089050";"COURTNEY HERNANDEZ";"S_4";"5/22/2014 12:00:00 AM";0;"FR";"Paris";"8/12/1973";"S";"F";"courtney14@adventure-works.com";"$60,000";0;"Partial College";"Skilled Manual";"N"
"CLI1350";"NANCY CHAPMAN";"S_4";"5/22/2014 12:00:00 AM";0;"FR";"Paris";"9/19/1963";"M";"F";"nancy7@adventure-works.com";"$80,000";4;"Partial College";"Professional";"Y"
"CLI1365";"HUNTER GRIFFIN";"S_4";"1/8/2021 12:00:00 AM";0;"FR";"Paris";"3/3/1962";"M";"M";"hunter16@adventure-works.com";"$170,000";0;"Graduate Degree";"Management";"Y"
"CLI1784";"KAITLYN HALL";"S_4";"1/14/2021 12:00:00 AM";0;"FR";"Paris";"3/16/1969";"M";"F";"kaitlyn46@adventure-works.com";"$70,000";5;"Graduate Degree";"Professional";"N"
"CLI43099410";"MELANIE HUGHES";"S_5";"5/22/2014 12:00:00 AM";0;"MT";"Sliema";"11/18/1957";"M";"F";"melanie27@adventure-works.com";"$80,000";2;"Bachelors";"Management";"N"
"CLI115";"IAN GRAY";"S_1";"3/29/2017 12:00:00 AM";0;"PS";"Gaza";"2/13/1945";"M";"M";"ian72@adventure-works.com";"$60,000";4;"Bachelors";"Management";"Y"
"CLI116";"AMANDA FOSTER";"S_1";"1/4/2016 12:00:00 AM";0;"PS";"Nablus";"8/18/1947";"M";"F";"amanda37@adventure-works.com";"$70,000";4;"Bachelors";"Management";"Y"
"CLI43001030";"LATOYA SHE";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Lerma";"3/24/1968";"M";"F";"latoya0@adventure-works.com";"$60,000";2;"Bachelors";"Professional";"Y"
"CLI43001050";"VICTORIA GONZALES";"S_1";"7/13/2016 12:00:00 AM";0;"ES";"Mojácar";"7/17/1970";"M";"F";"victoria63@adventure-works.com";"$80,000";4;"Graduate Degree";"Management";"Y"
"CLI43001200";"LAUREN BRYANT";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Sos del Rey Católico";"5/7/1970";"M";"F";"lauren64@adventure-works.com";"$80,000";4;"Graduate Degree";"Management";"Y"
"CLI43002020";"WILLIE PAL";"S_1";"1/2/2017 12:00:00 AM";0;"ES";"Roncal";"5/15/1968";"M";"M";"willie31@adventure-works.com";"$60,000";2;"Bachelors";"Professional";"Y"
"CLI43003160";"LINDA ORTEGA";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Molinaseca";"9/13/1968";"S";"F";"linda37@adventure-works.com";"$60,000";2;"Bachelors";"Professional";"N"
"CLI43003190";"VINCENT CAI";"S_1";"5/8/2015 12:00:00 AM";0;"ES";"Besalú";"5/14/1968";"M";"M";"vincent21@adventure-works.com";"$70,000";5;"Bachelors";"Professional";"Y"
"CLI43003325";"COLIN YUAN";"S_1";"5/26/2021 12:00:00 AM";0;"ES";"Comillas";"12/22/1968";"M";"M";"colin30@adventure-works.com";"$70,000";5;"Bachelors";"Professional";"Y"
"CLI43003350";"DAWN NATH";"S_1";"4/30/2021 12:00:00 AM";0;"ES";"Roncal";"11/22/1969";"M";"F";"dawn42@adventure-works.com";"$110,000";1;"Graduate Degree";"Management";"N"
"CLI43003375";"MELODY MORENO";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Laguardia";"10/27/1967";"M";"F";"melody7@adventure-works.com";"$70,000";5;"Bachelors";"Professional";"Y"
"CLI43003405";"EDGAR MEHTA";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Mogarraz";"4/19/1967";"S";"M";"edgar15@adventure-works.com";"$70,000";5;"Bachelors";"Professional";"Y"
"CLI43003425";"RANDALL GOMEZ";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Vinuesa";"8/24/1967";"M";"M";"randall2@adventure-works.com";"$70,000";5;"Bachelors";"Professional";"Y"
"CLI43003485";"ROSS FERNANDEZ";"S_1";"11/22/2019 12:00:00 AM";0;"ES";"Madrid";"2/11/1967";"M";"M";"ross15@adventure-works.com";"$80,000";5;"Graduate Degree";"Management";"Y"
"CLI43003515";"CANDACE RAMAN";"S_1";"2/26/2021 12:00:00 AM";0;"ES";"Getafe";"7/4/1966";"S";"F";"candace12@adventure-works.com";"$90,000";0;"Bachelors";"Professional";"N"
"CLI43006010";"MEAGAN MADAN";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"San Sebastián de los Reyes";"5/24/1966";"S";"F";"meagan8@adventure-works.com";"$90,000";0;"Bachelors";"Professional";"N"
"CLI43006100";"CLAYTON NARA";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Guetaria";"10/8/1966";"M";"M";"clayton34@adventure-works.com";"$90,000";2;"Bachelors";"Professional";"Y"
"CLI43006130";"HALEY HERNANDEZ";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Mundaca";"8/17/1973";"S";"F";"haley53@adventure-works.com";"$50,000";0;"Graduate Degree";"Skilled Manual";"Y"
"CLI43007030";"CAMERON MOORE";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Bermeo";"1/24/1973";"M";"M";"cameron48@adventure-works.com";"$50,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI430070510";"GAVIN DIAZ";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Pasajes";"7/6/1973";"S";"M";"gavin20@adventure-works.com";"$50,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43007090";"EMMA SANCHEZ";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Estepa";"4/12/1973";"M";"F";"emma25@adventure-works.com";"$50,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43007120";"SIERRA ROBERTS";"S_1";"6/27/2018 12:00:00 AM";0;"ES";"Lebrija";"5/25/1973";"S";"F";"sierra3@adventure-works.com";"$50,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43007170";"SETH MITCHELL";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Cazalla de la Sierra";"7/3/1973";"M";"M";"seth38@adventure-works.com";"$50,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43007201";"MIRANDA LONG";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Constantina";"7/24/1972";"S";"F";"miranda9@adventure-works.com";"$40,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43007250";"HALEY HENDERSON";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Osuna";"3/21/1971";"S";"F";"haley24@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43007300";"SARAH JACKSON";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Herrera";"7/19/1971";"S";"F";"sarah14@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43008090";"JESSICA ALEXANDER";"S_1";"1/3/2017 12:00:00 AM";0;"ES";"El Garrobo";"11/20/1971";"S";"F";"jessica43@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43008200";"CARLOS GRAY";"S_1";"2/26/2021 12:00:00 AM";0;"ES";"Arahal";"3/10/1971";"M";"M";"carlos7@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43008380";"BARBARA JAI";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Morón de la frontera";"3/17/1971";"M";"F";"barbara42@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI430083800";"SARA MITCHELL";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Dos Hermanas";"11/17/1971";"M";"F";"sara37@adventure-works.com";"$60,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43008575";"JOSE TURNER";"S_1";"5/27/2020 12:00:00 AM";0;"ES";"Olvera";"12/19/1972";"M";"M";"jose42@adventure-works.com";"$40,000";1;"Graduate Degree";"Skilled Manual";"Y"
"CLI43009095";"THEODORE DIAZ";"S_1";"6/3/2020 12:00:00 AM";0;"ES";"Ubrique";"2/25/1972";"M";"M";"theodore3@adventure-works.com";"$40,000";1;"Bachelors";"Skilled Manual";"Y"
"CLI43011020";"CHASE MORGAN";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Jerez de la Frontera";"4/21/1970";"M";"M";"chase13@adventure-works.com";"$60,000";1;"Graduate Degree";"Professional";"Y"
"CLI430110203";"ALEXIA PERRY";"S_1";"11/14/2017 12:00:00 AM";0;"ES";"Sanlucar de Barrameda";"5/27/1969";"M";"F";"alexia7@adventure-works.com";"$40,000";1;"Bachelors";"Skilled Manual";"Y"
"CLI43011060";"XAVIER ROGERS";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Tarifa";"3/20/1969";"M";"M";"xavier87@adventure-works.com";"$40,000";1;"Bachelors";"Skilled Manual";"Y"
"CLI43011080";"LAUREN ROSS";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Bronos";"11/1/1969";"S";"F";"lauren51@adventure-works.com";"$40,000";2;"Bachelors";"Skilled Manual";"Y"
"CLI43012040";"NICOLE THOMAS";"S_1";"9/3/2019 12:00:00 AM";0;"ES";"El gastor";"2/15/1969";"S";"F";"nicole11@adventure-works.com";"$40,000";2;"Bachelors";"Skilled Manual";"Y"
"CLI43012120";"ISABEL JENKINS";"S_1";"9/3/2019 12:00:00 AM";0;"ES";"Benaocaz";"2/7/1969";"S";"F";"isabel7@adventure-works.com";"$40,000";2;"Bachelors";"Skilled Manual";"N"
"CLI43012130";"DEVIN COLEMAN";"S_1";"9/3/2019 12:00:00 AM";0;"ES";"Medina-Sidonia";"3/7/1969";"S";"M";"devin44@adventure-works.com";"$40,000";2;"Bachelors";"Skilled Manual";"Y"
"CLI43013290";"BRENDAN CHANDE";"S_1";"6/29/2018 12:00:00 AM";0;"ES";"Manzanares el Rean";"2/12/1969";"M";"M";"brendan13@adventure-works.com";"$40,000";2;"Bachelors";"Skilled Manual";"Y"
"CLI43015020";"JESSIE WANG";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"San Lorenzo del Escorial";"9/13/1969";"M";"M";"jessie7@adventure-works.com";"$40,000";2;"Bachelors";"Skilled Manual";"Y"
"CLI43015300";"JENNIFER BAKER";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Rascafria";"11/7/1969";"M";"F";"jennifer19@adventure-works.com";"$60,000";1;"Graduate Degree";"Professional";"Y"
"CLI43017040";"JAN HERNANDEZ";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Aranjuez";"9/12/1971";"S";"F";"jan15@adventure-works.com";"$60,000";1;"Graduate Degree";"Professional";"Y"
"CLI43017060";"HALEY TURNER";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Alcalá de Henares";"4/18/1971";"M";"F";"haley44@adventure-works.com";"$60,000";1;"Graduate Degree";"Professional";"Y"
"CLI43017080";"RICHARD GREEN";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Colmenar de Oreja";"3/12/1971";"M";"M";"richard25@adventure-works.com";"$70,000";2;"Graduate Degree";"Professional";"Y"
"CLI43017109";"JAMES PARKER";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Lozoya";"4/12/1969";"M";"M";"james57@adventure-works.com";"$60,000";1;"Graduate Degree";"Professional";"Y"
"CLI43018090";"JUAN GRAY";"S_1";"8/23/2019 12:00:00 AM";0;"ES";"Torrelaguna";"1/2/1968";"M";"M";"juan16@adventure-works.com";"$60,000";2;"Bachelors";"Skilled Manual";"Y"
"CLI43018270";"ANTONIO WASHINGTON";"S_1";"7/2/2019 12:00:00 AM";0;"ES";"Vic";"1/7/1967";"S";"M";"antonio13@adventure-works.com";"$40,000";0;"Bachelors";"Professional";"N"
"CLI43018290";"ABIGAIL BROOKS";"S_1";"8/23/2019 12:00:00 AM";0;"ES";"Bagá";"6/15/1967";"S";"F";"abigail22@adventure-works.com";"$40,000";0;"Bachelors";"Professional";"Y"
"CLI43018300";"ANDREW RODRIGUEZ";"S_1";"7/2/2019 12:00:00 AM";0;"ES";"Terrassa";"9/22/1967";"M";"M";"andrew27@adventure-works.com";"$40,000";0;"Bachelors";"Professional";"N"
"CLI43020005";"MARY PATTERSON";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Castelldefels";"11/12/1967";"M";"F";"mary40@adventure-works.com";"$40,000";0;"Bachelors";"Professional";"N"
"CLI43020250";"DALTON MORGAN";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Rupit";"7/8/1970";"M";"M";"dalton84@adventure-works.com";"$60,000";2;"Graduate Degree";"Professional";"Y"
"CLI43020370";"HANNAH PATTERSON";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Alella";"4/24/1970";"M";"F";"hannah33@adventure-works.com";"$70,000";3;"Graduate Degree";"Professional";"Y"
"CLI43020390";"JOE TORRES";"S_1";"7/18/2014 12:00:00 AM";0;"ES";"Calella";"10/23/1970";"M";"M";"joe35@adventure-works.com";"$70,000";4;"Graduate Degree";"Professional";"Y"
"CLI43022010";"MORGAN MILLER";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Talamanca";"11/27/1970";"S";"F";"morgan29@adventure-works.com";"$70,000";4;"Graduate Degree";"Professional";"Y"
"CLI43022080";"DANIEL GARCIA";"S_1";"4/15/2016 12:00:00 AM";0;"ES";"San Cugat del Vallés";"4/22/1970";"M";"M";"daniel8@adventure-works.com";"$70,000";4;"Graduate Degree";"Professional";"Y"
"CLI43023120";"AUSTIN JOHNSON";"S_1";"8/23/2019 12:00:00 AM";0;"ES";"Granollers";"4/15/1966";"M";"M";"austin40@adventure-works.com";"$60,000";0;"Graduate Degree";"Professional";"Y"
"CLI43024160";"ROHINTON WADIA";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Badalona";"6/13/1966";"M";"F";"rohinton1@adventure-works.com";"$60,000";0;"Graduate Degree";"Professional";"Y"
"CLI430242500";"MORGAN TURNER";"S_1";"7/22/2014 12:00:00 AM";0;"ES";"Játiva";"10/24/1966";"M";"F";"morgan3@adventure-works.com";"$70,000";0;"Graduate Degree";"Professional";"Y"
"CLI43025130";"JILL MARTIN";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Sagunto";"10/7/1966";"M";"F";"jill6@adventure-works.com";"$70,000";4;"Graduate Degree";"Professional";"Y"
"CLI43026120";"JESSIE ALONSO";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Gandia";"2/15/1966";"M";"F";"jessie6@adventure-works.com";"$70,000";5;"Graduate Degree";"Professional";"Y"
"CLI430270700";"SARA BAKER";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Onteniente";"9/20/1969";"M";"F";"sara43@adventure-works.com";"$60,000";2;"Graduate Degree";"Professional";"Y"
"CLI43028140";"KATHERINE MARTINEZ";"S_1";"1/3/2017 12:00:00 AM";0;"ES";"Guadalest";"6/8/1969";"M";"F";"katherine88@adventure-works.com";"$70,000";5;"Graduate Degree";"Professional";"Y"
"CLI430281400";"SOPHIA CAMPBELL";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Altea";"11/2/1969";"M";"F";"sophia5@adventure-works.com";"$70,000";5;"Graduate Degree";"Professional";"Y"
"CLI430282400";"TAYLOR GARCIA";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Buñol";"1/15/1969";"M";"F";"taylor63@adventure-works.com";"$80,000";3;"Graduate Degree";"Professional";"Y"
"CLI430282405";"CHRISTIAN ROSS";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Coferentes";"11/24/1969";"M";"M";"christian18@adventure-works.com";"$80,000";3;"Graduate Degree";"Professional";"Y"
"CLI43028250";"ZOE MURPHY";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Alcira";"4/5/1965";"S";"F";"zoe13@adventure-works.com";"$40,000";0;"Bachelors";"Professional";"N"
"CLI43028460";"OSCAR PRICE";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Anna";"7/23/1965";"M";"M";"oscar9@adventure-works.com";"$80,000";3;"Bachelors";"Skilled Manual";"Y"
"CLI43028490";"FERNANDO FLORES";"S_1";"1/12/2021 12:00:00 AM";0;"ES";"olivia";"10/25/1965";"S";"M";"fernando55@adventure-works.com";"$80,000";3;"Bachelors";"Skilled Manual";"N"
"CLI430284900";"ELIJAH RUSSELL";"S_1";"7/3/2019 12:00:00 AM";0;"ES";"Cullera";"6/19/1965";"S";"M";"elijah21@adventure-works.com";"$80,000";3;"Bachelors";"Skilled Manual";"Y"
"CLI43028660";"GARRETT TRAVERS";"S_1";"1/4/2016 12:00:00 AM";0;"ES";"Melilla";"4/27/1965";"M";"M";"garrett9@adventure-works.com";"$80,000";3;"Bachelors";"Skilled Manual";"Y"
"CLI43029070";"TYLER BROWN";"S_1";"1/3/2017 12:00:00 AM";0;"ES";"Cauta";"7/25/1965";"S";"M";"tyler9@adventure-works.com";"$60,000";0;"Graduate Degree";"Professional";"Y"
"CLI43029155";"JULIAN PATTERSON";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Marbella";"5/17/1965";"M";"M";"julian12@adventure-works.com";"$60,000";0;"Graduate Degree";"Professional";"Y"
"CLI43029160";"SEAN NELSON";"S_1";"5/22/2014 12:00:00 AM";0;"ES";"Toledo";"3/16/1964";"M";"M";"sean41@adventure-works.com";"$40,000";0;"Bachelors";"Professional";"N"
